x(m),p2(Pa),dp(Pa),total(Pa)
10.29999999999998,97.03088713391665,7.969112866083352,105.0
10.399999999999979,97.20748112183642,7.792518878163578,105.0
10.499999999999979,97.37921048620633,7.620789513793666,105.0
10.599999999999978,97.54623515131192,7.453764848688084,105.0
10.699999999999978,97.70870894115416,7.291291058845844,105.0
10.799999999999978,97.86677984394261,7.133220156057397,105.0
10.899999999999977,98.02059026375689,6.979409736243119,105.0
10.999999999999977,98.17027726006461,6.829722739935398,105.0
11.099999999999977,98.31597277574319,6.684027224256807,105.0
11.199999999999976,98.4578038542156,6.542196145784406,105.0
11.299999999999976,98.59589284627414,6.40410715372586,105.0
11.399999999999975,98.73035760713393,6.269642392866075,105.0
11.499999999999975,98.86131168422584,6.13868831577416,105.0
11.599999999999975,98.98886449621025,6.011135503789741,105.0
