Displacement(m),Load(kN),Stress(kPa),Strain
0.00017,56.4,28724.290105144137,0.0017000000000000001
0.00017,56.5,28775.219697529144,0.0017000000000000001
0.00017,56.7,28877.07888229916,0.0017000000000000001
0.00017,56.9,28978.93806706917,0.0017000000000000001
0.00017,57.0,29029.86765945418,0.0017000000000000001
0.00017,57.2,29131.7268442242,0.0017000000000000001
0.00017,57.4,29233.58602899421,0.0017000000000000001
0.00017,57.5,29284.515621379218,0.0017000000000000001
0.00017,57.6,29335.445213764226,0.0017000000000000001
0.00017,57.8,29437.304398534237,0.0017000000000000001
0.00017,57.9,29488.233990919245,0.0017000000000000001
0.00017,58.1,29590.093175689264,0.0017000000000000001
0.00017,58.3,29691.952360459276,0.0017000000000000001
0.00017,58.4,29742.881952844284,0.0017000000000000001
0.00017,58.7,29895.670729999307,0.0017000000000000001
0.00017,58.9,29997.52991476932,0.0017000000000000001
0.00017,59.0,30048.459507154326,0.0017000000000000001
0.00017,59.2,30150.318691924345,0.0017000000000000001
0.00017999999999999998,59.3,30201.24828430935,0.0017999999999999997
0.00017999999999999998,59.5,30303.107469079365,0.0017999999999999997
0.00017999999999999998,59.6,30354.037061464373,0.0017999999999999997
0.00017999999999999998,59.8,30455.896246234384,0.0017999999999999997
0.00017999999999999998,60.0,30557.7554310044,0.0017999999999999997
0.00017999999999999998,60.1,30608.68502338941,0.0017999999999999997
0.00017999999999999998,60.3,30710.544208159423,0.0017999999999999997
0.00017999999999999998,60.5,30812.40339292944,0.0017999999999999997
0.00017999999999999998,60.7,30914.262577699454,0.0017999999999999997
0.00017999999999999998,60.8,30965.192170084458,0.0017999999999999997
0.00017999999999999998,61.0,31067.051354854473,0.0017999999999999997
0.00017999999999999998,61.1,31117.98094723948,0.0017999999999999997
0.00017999999999999998,61.3,31219.840132009496,0.0017999999999999997
0.00017999999999999998,61.5,31321.69931677951,0.0017999999999999997
0.00017999999999999998,61.7,31423.558501549527,0.0017999999999999997
0.00017999999999999998,61.8,31474.48809393453,0.0017999999999999997
0.00017999999999999998,62.0,31576.347278704547,0.0017999999999999997
0.00017999999999999998,62.1,31627.276871089554,0.0017999999999999997
0.00017999999999999998,62.3,31729.13605585957,0.0017999999999999997
0.00017999999999999998,62.4,31780.065648244577,0.0017999999999999997
0.00017999999999999998,62.6,31881.924833014593,0.0017999999999999997
0.00017999999999999998,62.8,31983.784017784605,0.0017999999999999997
0.00017999999999999998,62.9,32034.713610169612,0.0017999999999999997
0.00017999999999999998,63.1,32136.572794939628,0.0017999999999999997
0.00017999999999999998,63.2,32187.50238732464,0.0017999999999999997
0.00019,63.4,32289.36157209465,0.0019
0.00019,63.7,32442.150349249674,0.0019
0.00019,63.8,32493.079941634678,0.0019
0.00019,64.0,32594.939126404694,0.0019
0.00019,64.3,32747.727903559717,0.0019
0.00019,64.5,32849.58708832973,0.0019
0.00019,64.6,32900.51668071473,0.0019
0.00019,64.8,33002.375865484755,0.0019
0.00019,65.0,33104.23505025477,0.0019
0.00019,65.2,33206.094235024786,0.0019
0.00019,65.4,33307.9534197948,0.0019
0.00019,65.5,33358.8830121798,0.0019
0.00019,65.6,33409.81260456481,0.0019
0.00019,65.7,33460.74219694982,0.0019
0.00019,65.9,33562.60138171984,0.0019
0.00019,66.1,33664.46056648985,0.0019
0.00019,66.2,33715.390158874856,0.0019
0.00019,66.3,33766.31975125986,0.0019
0.00019,66.4,33817.24934364487,0.0019
0.00019,66.5,33868.17893602988,0.0019
0.00019,66.7,33970.038120799894,0.0019
0.00019,66.9,34071.89730556991,0.0019
